Product Page,Product URL,Title,Description,SKU,Price,Sale Price,On Sale,Categories
paper-products,pro-classic,PRO CLASSIC (Code: 3010008),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent, white smooth toilet paper roll, 100% water-soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 125g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 117g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 35.1m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 319 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>40 rolls per pack.<br>Pallet: 50 packages.</p></li></ul>",SQ6271713,0,0,No,/kitchen-towels
paper-products,satin-professional,SATIN PROFESSIONAL (Code: 3010040),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Satin toilet paper rolls, white embossed 2 plies, 100% water-soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 8.9cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 115g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Net weight: 107g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 40m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets per roll: 364 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Package:</strong><br>40 rolls per pack.<br>Pallet: 60 packages.</p></li></ul>",SQ8187717,0,0,No,/toilet-paper
paper-products,rip-up-450,RIP UP 450 (Code: 6000024),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent toilet paper roll, 2 plies, white embossed, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Weight: 450g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 132m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Perforation: Without perforation</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Packing:</strong> 12 rolls<br><strong>Pallet:</strong> 48 packages</p></li></ul>",SQ6342103,0,0,No,/kitchen-towels
paper-products,rip-up-500,RIP UP 500 (Code: 6000025),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent toilet paper roll, 2 plies, white embossed, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Height: 9.8cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Weight: 500g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 147m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Perforation: Without perforation</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Packing:</strong> 12 rolls<br><strong>Pallet:</strong> 48 packages</p></li></ul>",SQ7050378,0,0,No,/kitchen-towels
paper-products,center-pull-600,CENTER PULL 600 (Code: 6000022),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely soft and absorbent toilet paper roll with detachable core, suitable for dispensers.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">2 plies, white embossed, perforated, 100% water soluble.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Weight: 600g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 129m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheet dimension: 3.3x20cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets: 647 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Packing:</strong> 6 rolls<br><strong>Pallet:</strong> 60 packages</p></li></ul>",SQ5073720,0,0,No,/toilet-paper
paper-products,center-pull-750,CENTER PULL 750 (Code: 6000014),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Smooth and absorbent 2-ply toilet paper roll, perforated, white embossed, 100% water soluble.</p><ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Weight: 750g/roll</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 161m</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheet dimension: 13.3x20cm</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheets: 804 double</p></li></ul><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true""><strong>Packing:</strong> 6 rolls<br><strong>Pallet:</strong> 60 packages</p></li></ul>",SQ3741541,0,0,No,
paper-products,center-pull-450,Center Pull 450 - 12 Roll Hand Towels (Code: 6100022),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">2-ply durable and absorbent hand towel roll with white embossing.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight per roll: 450g, net weight: 418g.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheet dimensions: 20 x 20 cm.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 47 m with perforation and detachable core.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Packaged as 12 rolls per pack.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Pallet contains 48 packs.</p></li></ul>",SQ4348167,0,0,No,/hand-towels
paper-products,auto-cut-800,Auto Cut 800 - 6 Roll Hand Towels (Code: 6106006),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">2-ply durable and absorbent hand towel roll with white embossing.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll height: 20.2 cm, gross weight per roll: 800g, net weight: 760g.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 78.4 m without perforation.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Packaged as 6 rolls per pack.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Pallet contains 60 packs.</p></li></ul>",SQ6784551,0,0,No,/hand-towels
paper-products,auto-cut-1000,Auto Cut 1000 - 6 Roll Hand Towels (Code: 6106005),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">2-ply durable and absorbent hand towel roll with white embossing.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll height: 20.2 cm, gross weight per roll: 1000g, net weight: 959g.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 99 m without perforation.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Packaged as 6 rolls per pack.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Pallet contains 50 packs.</p></li></ul>",SQ1442184,0,0,No,/hand-towels
paper-products,professional-roll-2000,Professional Roll - 2000g (Code: 6101001 / 6101002),"<ul data-rte-list=""true""><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Extremely durable and absorbent, suitable for all uses.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">2-ply white, leaves no fluff.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Gross weight: 2000g per roll, net weight: 1934g.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Roll length: 181.6m, with 908 double sheets.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Sheet dimensions: 24.2 x 20 cm.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Packaged as 2 rolls per pack.</p></li><li><p style=""white-space:pre-wrap;"" data-rte-preserve-empty=""true"">Pallet contains 63 (embossed) or 100 (smooth) packs.</p></li></ul>",SQ3356662,0,0,No,/kitchen-towels
